2020-02-12 17:24:02,976 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Feb 12 17:24:02 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-02-12 17:24:04,820 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-02-12 17:24:05,283 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-02-12 17:24:05,631 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2020-02-12 17:24:05,834 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:ac1bc51f1194-39363-1581528245665-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-02-12 17:24:05,886 | INFO  | Listening for connections at: tcp://ac1bc51f1194:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-12 17:24:05,889 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-02-12 17:24:05,896 | INFO  | Listening for connections at: amqp://ac1bc51f1194:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-12 17:24:05,898 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-02-12 17:24:05,905 | INFO  | Listening for connections at: stomp://ac1bc51f1194:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-12 17:24:05,908 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-02-12 17:24:05,914 | INFO  | Listening for connections at: mqtt://ac1bc51f1194:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-12 17:24:05,917 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-02-12 17:24:06,277 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2020-02-12 17:24:06,400 | INFO  | Listening for connections at ws://ac1bc51f1194:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-02-12 17:24:06,401 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-02-12 17:24:06,404 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:ac1bc51f1194-39363-1581528245665-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-02-12 17:24:06,408 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-02-12 17:24:06,412 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 12482 mb of usable space. - resetting to maximum available disk space: 12482 mb | org.apache.activemq.broker.BrokerService | main
2020-02-12 17:24:06,414 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 12482 mb of usable space. - resetting to maximum available disk space: 12482 mb | org.apache.activemq.broker.BrokerService | main
2020-02-12 17:24:07,565 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2020-02-12 17:24:08,130 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-02-12 17:24:08,131 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-02-12 17:24:08,242 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-02-12 17:24:08,675 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2020-02-12 17:24:08,787 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2020-02-13 04:15:22,564 | WARN  | Transport Connection to: tcp://172.17.0.1:49966 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.17.0.1:49966 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
